name,cast_rating,,,
The Stars Fell on Henrietta,0.6065078215063420,,,
Little Women,0.6063965639432530,,,
Field of Dreams,0.6063445503728870,,,
Cronos,0.606239094725055,,,
A Simple Twist of Fate,0.6059114035351490,,,
Kansas City,0.6058100731627230,,,
Rudy,0.6057411959698680,,,
Diva,0.6057175397872930,,,
M. Butterfly,0.6056168346088260,,,
A Man of No Importance,0.6053242134585660,,,
Exotica,0.6051250389875730,,,
I.Q.,0.6049803660903230,,,
Breakfast at Tiffany's,0.6048261032200340,,,
Les misérables,0.6048128936988750,,,
Herbie Rides Again,0.6048026092654680,,,
Batman Forever,0.6047359858660670,,,
Everyone Says I Love You,0.6045391249500730,,,
The Madness of King George,0.6042956401335110,,,
Bad Company,0.604290354418317,,,
The People vs. Larry Flynt,0.6041177983017950,,,
Two Deaths,0.6037174203993050,,,
Platoon,0.6036649620309230,,,
Love in the Afternoon,0.6035648672716400,,,
Mirage,0.6033821521471580,,,
Canadian Bacon,0.6033430183278760,,,
The Secret of Roan Inish,0.6033414602279660,,,
Bringing Up Baby,0.6032161829767490,,,
Surviving the Game,0.6030594767832830,,,
Made in America,0.6027731379784010,,,
Tommy Boy,0.6027148261240480,,,
Pete's Dragon,0.6026775350177430,,,
For Whom the Bell Tolls,0.6026440455937690,,,
Pretty Woman,0.6026213739325910,,,
The Pallbearer,0.6025946970247170,,,
The Day the Earth Stood Still,0.6025271750013940,,,
Sleeper,0.6024995754236960,,,
The Neon Bible,0.6024443216987980,,,
That Darn Cat!,0.6022279714628210,,,
Before the Rain,0.6021926194000250,,,
Flirting with Disaster,0.6019356793297230,,,
Willy Wonka & the Chocolate Factory,0.6019268314263210,,,
Swiss Family Robinson,0.6019125834602590,,,
Stand by Me,0.6018859947236000,,,
Four Rooms,0.6018379301491470,,,
My Man Godfrey,0.6018156628981860,,,
Taxi Driver,0.6016875008637860,,,
Escape from New York,0.6012974024605560,,,
The 39 Steps,0.6011795752169600,,,
In the Line of Fire,0.6010556751388740,,,
Super Mario Bros.,0.6008411787857830,,,
Killing Zoe,0.6008370004069920,,,
Sabrina,0.6006927218324560,,,
Little Buddha,0.6006562088618560,,,
Boys,0.6006274785991110,,,
Pink Floyd: The Wall,0.600307285785675,,,
The Truth About Cats & Dogs,0.6002829168041430,,,
Homeward Bound II: Lost in San Francisco,0.6002637511565450,,,
Boys on the Side,0.6000751244493740,,,
To Kill a Mockingbird,0.5999645055044700,,,
I Shot Andy Warhol,0.5999324515825360,,,
Surviving Picasso,0.5998899317508330,,,
The Princess Bride,0.5998791769165220,,,
The Associate,0.5997678989964270,,,
Wyatt Earp,0.5996270869328200,,,
First Knight,0.5995011349613080,,,
Keiner liebt mich,0.5994736348143900,,,
Antonia,0.5994673735194720,,,
Balto,0.5993260076538470,,,
Moll Flanders,0.5992438591065300,,,
Forbidden Planet,0.5990655365110250,,,
The Scarlet Letter,0.5990530443307440,,,
Anne Frank Remembered,0.5988640189170840,,,
With Honors,0.5988522436597620,,,
Getting Away with Murder,0.5987929536995730,,,
The Piano,0.598772065403193,,,
Persuasion,0.5986957758960410,,,
Cosi,0.5985752218108670,,,
Bis ans Ende der Welt,0.5984756302057890,,,
Dead Man,0.5984006167633100,,,
Beyond Rangoon,0.5983891396287580,,,
Better Off Dead...,0.5983243021497690,,,
Belle de jour,0.5982732468234650,,,
The Crying Game,0.5982011856232590,,,
Blink,0.5981921442142510,,,
Foreign Correspondent,0.5979714138443490,,,
August,0.5979030445659280,,,
Chinatown,0.5976851291413840,,,
The Philadelphia Story,0.5976254860633210,,,
Gazon maudit,0.5976150408037080,,,
Female Perversions,0.597612708687383,,,
The Shadow,0.5975908154873780,,,
Get on the Bus,0.5973812137847000,,,
Renaissance Man,0.5971982026786420,,,
Jack,0.597159280039126,,,
Faithful,0.5971107108912440,,,
Old Yeller,0.5969429091177620,,,
Nick of Time,0.5969235704580490,,,
Passion Fish,0.5968873134165380,,,
Arsenic and Old Lace,0.5968072052117420,,,
Ed Wood,0.5967822471294200,,,
Kim,0.5967051741983500,,,
Getting Even with Dad,0.5965893803375670,,,
The Program,0.5965317326158510,,,
Angel and the Badman,0.5964912033632360,,,
The Ref,0.5963850783920970,,,
Chasers,0.5963616984238070,,,
The Boys of St. Vincent,0.5963495969772340,,,
Batman,0.5962327420446870,,,
Mad Dog Time,0.5962286197432030,,,
Roman Holiday,0.5961494001856230,,,
Aladdin,0.5960973518938290,,,
Mr. Jones,0.5960692755176090,,,
The Addiction,0.5959180818097480,,,
The Sunchaser,0.5958739351397030,,,
Lone Star,0.5957040162012550,,,
Before Sunrise,0.5955761260363570,,,
Dellamorte Dellamore,0.595394344867937,,,
To Die For,0.5953715485133050,,,
The Fugitive,0.5951141624503580,,,
Bob Roberts,0.5949376846516930,,,
